id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
240,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Kitsap",,,http://www1.dshs.wa.gov/index.html
241,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Clallam",,,http://www1.dshs.wa.gov/index.html
242,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Jefferson",,,http://www1.dshs.wa.gov/index.html
243,,CCS,,"Catholic Community Services (CCS) is a faith-based and values-driven outreach of the Catholic Church in Western Washington. Under the leadership of Archbishop Brunett, and the Board of Trustees, our staff and volunteers answer the Gospel call to loving and compassionate service with particular concern for the sanctity of human life from conception to natural death and for the dignity of every human person. The workers of CCS and AHA come from many faith traditions and actively respond to the call of the Catholic Church in Western Washington to serve those most in need.",,,,,"Catholic Community Services - Kitsap",911585652,,http://www.ccsww.org
244,,"Clallam County DUI Victims Panel",,"The purpose of the DUI Victim's Panel is to educate the community about the tragedies that are caused by drinking drivers.  It is also their purpose to educate the offenders, who are committing these crimes, on how their behavior has affected the lives of innocent victims.  The victim's panel is made up of volunteers who have either been injured by a drunk driver or had a family member or friend killed because of drunk driving. They also have DUI offenders speak, who have either injured themselves or killed someone while driving under the influence.  Call above for more information.",,,,,"Clallam County DUI Victim's Panel",,,
245,,FCH,,"The CCPHD#1 is a public hospital district comprised of a 25 bed licensed Critical Access Hospital, 20 bed skilled nursing unit, 24/7 emergency room, obstetrics, swing beds, full service imaging, lab and cardiopulmonary departments.  The District also includes two Rural Health Clinics with primary care and specialist providers.  The West End Outreach Services includes both mental health and chemical dependency outpatient programs.",,,,,"Clallam County Public Hospital District #1",911447731,,http://www.forkshospital.org
246,,"Assured Home Health and Hospice",,"Hospice is a concept of care with emphasis on care, not cure. It offers a comprehensive program of care to patients and families facing a life-limiting illness. At the core of hospice is the belief that each person should be able to die pain-free with dignity. Hospice assures that the patient and family will receive the support necessary to achieve this goal.",,,,,"Assured Hospice",204149171,,http://www.lhcgroup.com
247,,HUD,,"Housing for families, those who are disabled, and elderly persons with low monthly household income. Must meet federal low income guidelines. There is a waiting list for this service.",,,,,"Peninsula Housing Authority",91-6000971,,http://www.peninsulapha.org
248,,CTS,,"It is the mission of CTS to provide safe, reliable, interconnected, courteous, comfortable, effective, and efficient transportation service at a reasonable and equitable cost to both taxpayers and transit passengers of Clallam County. Call for information on bus routes and rates.",,,,,"Clallam Transit System",,,http://www.clallamtransit.com
249,,ESW,,"Easter Seals has been helping individuals with disabilities and special needs, and their families, live better lives for more than 80 years. Whether helping someone improve physical mobility, return to work or simply gain greater independence for everyday living, Easter Seals offers a variety of services to help people with disabilities address life's challenges and achieve personal goals.",,,,,"Easter Seals Washington",910575956,,http://wa.easterseals.com
250,,NKFR,,"This Fire District serves Kingston, Suquamish, Miller Bay, Indianola and Hansville.",,,,,"North Kitsap Fire & Rescue",,,http://www.nkfr.org
251,,"Family Planning of Clallam County",,"Family Planning of Clallam County (FPCC)provides sliding-fee scale healthcare services to women and men.  FPCC’s services include, but are not limited to: comprehensive reproductive health exams, pregnancy testing and options information, contraception, cancer screenings (breast, cervical, testicular, colon), emergency contraception, facilitation of free tubal ligations and vasectomies for low income individuals, sexually transmitted infection (STI) testing and treatment, HIV testing and counseling, and colposcopy care.",,,,,"Planned Parenthood of the Great Northwest - Clallam",910686012,,http://www.plannedparenthood.org/ppgnw/
252,,"1st Steps Program",,"First Step Family Support Center, a 501(c)(3) non profit organization and United Way agency, has provided support and education services to encourage the healthy development of families in Clallam County since 1972. The goal of the agency is to provide innovative and family-centered programs to meet the needs of parents and their children in a respectful and responsible manner.",,,,,"First Step Family Support Center",910897485,,http://www.firststepfamily.org/
253,,,,"Income from Goodwill store sales funds FREE Job Training and Education programs for adults with barriers to employment. Classes vary depending upon the location, but typically include computer training, job and career skills, cashiering, retail and customer service program, GED preparation and English as a Second Language. For information about classes, please call the Job Training & Education Center at 360-698-6776 (Silverdale) or 360-373-3692 (Bremerton).",,,,,"Seattle Goodwill Industries",,,http://www.seattlegoodwill.org
